Wall time,Step,Value
1653639588.325303,0,0.007212584372609854
1653639600.8305907,1,0.013465494848787785
1653639612.6741831,2,0.017411023378372192
1653639624.3044734,3,0.020996129140257835
1653639636.2452738,4,0.023518769070506096
1653639648.2428074,5,0.024548549205064774
1653639660.2314765,6,0.026264764368534088
1653639672.3389304,7,0.027601348236203194
1653639684.2474647,8,0.02797519601881504
1653639696.5018914,9,0.02765500359237194
1653639708.3987947,10,0.028228694573044777
1653639720.0381005,11,0.02877367101609707
1653639731.9250903,12,0.028426112607121468
1653639743.5716789,13,0.028357425704598427
1653639755.2911386,14,0.02804483287036419
1653639767.1536212,15,0.02784683369100094
1653639778.792894,16,0.028405368328094482
1653639790.4058657,17,0.028088491410017014
1653639801.7427292,18,0.02820271998643875
1653639812.7820747,19,0.028099410235881805
1653639824.020601,20,0.027745384722948074
1653639834.944636,21,0.02760334499180317
