Wall time,Step,Value
1653723605.841657,0,0.00346182007342577
1653723615.7689989,1,0.003827949520200491
1653723625.531443,2,0.003796544624492526
1653723635.5713549,3,0.005340611562132835
1653723645.65827,4,0.005755178164690733
1653723655.696311,5,0.005878790747374296
1653723665.5283072,6,0.0064551327377557755
1653723675.356451,7,0.006415377836674452
1653723685.1627276,8,0.005824570544064045
1653723694.9632401,9,0.006051742937415838
1653723704.9957614,10,0.004968160297721624
1653723715.110281,11,0.005169470328837633
1653723725.1058588,12,0.005517694633454084
1653723735.1147761,13,0.004858668893575668
1653723745.344483,14,0.00480315089225769
1653723755.4605243,15,0.004916062578558922
1653723765.6994927,16,0.0046748812310397625
